source	target	value
Angela 	Jim 	3
Angela 	Kevin 	4
Angela 	Pam 	6
Angela 	Oscar 	8
Angela 	Dwight 	16
Angela 	Andy 	8
Jim 	Kevin 	5
Jim 	Michael 	26
Jim 	Pam 	98
Jim 	Roy 	13
Jim 	Erin 	8
Jim 	Ryan 	3
Jim 	Dwight 	54
Jim 	Andy 	7
Kevin 	Michael 	5
Kevin 	Pam 	3
Kevin 	Oscar 	6
Kevin 	Erin 	6
Kevin 	Ryan 	2
Kevin 	Dwight 	4
Kevin 	Andy 	6
Michael 	Pam 	24
Michael 	Oscar 	6
Michael 	Erin 	4
Michael 	Ryan 	22
Michael 	Dwight 	42
Michael 	Andy 	8
Pam 	Oscar 	6
Pam 	Roy 	7
Pam 	Erin 	3
Pam 	Ryan 	13
Pam 	Dwight 	19
Pam 	Andy 	6
Oscar 	Erin 	2
Oscar 	Dwight 	3
Oscar 	Andy 	3
Roy 	Dwight 	2
Erin 	Dwight 	15
Erin 	Andy 	14
Ryan 	Dwight 	6
Ryan 	Andy 	2
Dwight 	Andy 	16
