,source,target,value
0,Michael,Dwight,5156
1,Michael,Jim,3715
2,Michael,Pam,3582
3,Michael,Ryan,1223
4,Michael,Andy,1103
5,Michael,Jan,2105
6,Michael,Stanley,862
7,Michael,Kevin,1001
8,Michael,Meredith,438
9,Michael,Angela,655
10,Michael,Phyllis,828
11,Michael,Kelly,584
12,Michael,Oscar,1066
13,Michael,Creed,345
14,Dwight,Jim,3234
15,Dwight,Pam,1305
16,Dwight,Ryan,465
17,Dwight,Andy,1200
18,Dwight,Jan,293
19,Dwight,Stanley,290
20,Dwight,Kevin,378
21,Dwight,Angela,820
22,Dwight,Phyllis,453
23,Dwight,Kelly,274
24,Dwight,Oscar,317
25,Jim,Pam,3513
26,Jim,Ryan,451
27,Jim,Andy,887
28,Jim,Jan,222
29,Jim,Stanley,215
30,Jim,Kevin,454
31,Jim,Angela,312
32,Jim,Phyllis,322
33,Jim,Kelly,328
34,Jim,Oscar,253
35,Pam,Ryan,431
36,Pam,Andy,485
37,Pam,Jan,232
38,Pam,Kevin,473
39,Pam,Angela,450
40,Pam,Phyllis,331
41,Pam,Kelly,261
42,Pam,Oscar,292
43,Ryan,Kelly,410
44,Andy,Kevin,341
45,Andy,Angela,507
46,Andy,Phyllis,239
47,Andy,Oscar,255
48,Stanley,Phyllis,218
49,Kevin,Angela,362
50,Kevin,Oscar,331
51,Angela,Phyllis,203
52,Angela,Oscar,308
